series,total_comp_cost,total_comp_pct,wages_cost,wages_pct,total_benefits_cost,total_benefits_pct,paid_leave_cost,paid_leave_pct,supplemental_pay_cost,supplemental_pay_pct,insurance_cost,insurance_pct,retirement_savings_cost,retirement_savings_pct,legally_required_cost,legally_required_pct
"Management,professional,and relatedoccupations",80.04,100.0,54.68,68.3,25.36,31.7,6.89,8.6,4.38,5.5,5.78,7.2,2.95,3.7,5.37,6.7
"Management,business,and financialoccupations",85.61,100.0,58.77,68.7,26.84,31.3,7.12,8.3,5.31,6.2,5.79,6.8,2.90,3.4,5.72,6.7
Professionalandrelated occupations,73.31,100.0,49.73,67.8,23.58,32.2,6.60,9.0,3.25,4.4,5.77,7.9,3.00,4.1,4.95,6.8
Salesandofficeoccupations,42.50,100.0,30.80,72.5,11.70,27.5,2.73,6.4,1.30,3.0,3.55,8.4,0.94,2.2,3.18,7.5
Officeandadministrativesupport occupations,38.12,100.0,26.85,70.4,11.28,29.6,2.56,6.7,1.29,3.4,3.67,9.6,0.86,2.2,2.90,7.6
"Naturalresources,construction,and maintenanceoccupations",47.75,100.0,32.49,68.0,15.26,32.0,2.29,4.8,2.30,4.8,3.94,8.3,2.52,5.3,4.19,8.8
"Construction,extraction,farming, fishingandforestry occupations",46.50,100.0,31.94,68.7,14.56,31.3,2.01,4.3,2.18,4.7,3.70,7.9,2.42,5.2,4.25,9.1
"Installation,maintenance,and repairoccupations",51.56,100.0,34.18,66.3,17.38,33.7,3.15,6.1,2.66,5.2,4.70,9.1,2.84,5.5,4.02,7.8
"Production,transportation,and materialmovingoccupations",37.67,100.0,24.86,66.0,12.81,34.0,2.36,6.3,2.47,6.6,3.94,10.5,1.08,2.9,2.96,7.8
Productionoccupations,38.41,100.0,25.21,65.6,13.20,34.4,2.46,6.4,2.59,6.7,4.06,10.6,1.12,2.9,2.97,7.7
movingoccupations,34.93,100.0,23.56,67.4,11.38,32.6,2.00,5.7,2.06,5.9,3.51,10.0,0.92,2.6,2.89,8.3
Constructionindustry,50.93,100.0,35.47,69.7,15.45,30.3,2.59,5.1,2.52,5.0,3.72,7.3,2.31,4.5,4.31,8.5
Manufacturingindustry,47.64,100.0,31.88,66.9,15.76,33.1,3.58,7.5,2.64,5.6,4.49,9.4,1.57,3.3,3.48,7.3
"Management,professional,and relatedoccupations",80.44,100.0,54.77,68.1,25.67,31.9,7.50,9.3,3.48,4.3,6.17,7.7,3.23,4.0,5.29,6.6
"Management,business,and financialoccupations",87.90,100.0,60.36,68.7,27.54,31.3,8.30,9.4,3.72,4.2,6.46,7.3,3.39,3.9,5.67,6.4
Professionalandrelated occupations,74.94,100.0,50.65,67.6,24.29,32.4,6.90,9.2,3.30,4.4,5.96,8.0,3.12,4.2,5.01,6.7
Salesandofficeoccupations,40.87,100.0,28.65,70.1,12.23,29.9,2.97,7.3,1.41,3.5,3.88,9.5,1.05,2.6,2.92,7.1
Officeandadministrative supportoccupations,38.52,100.0,26.44,68.6,12.08,31.4,2.82,7.3,1.41,3.7,4.18,10.8,0.99,2.6,2.68,7.0
"Naturalresources,construction, andmaintenanceoccupations",49.32,100.0,32.15,65.2,17.17,34.8,3.34,6.8,3.33,6.8,5.02,10.2,1.68,3.4,3.80,7.7
